장소ID,장소명,"구분(1:자연경관,2:박물관/체험관,3:기타",주소
1,하고수동해수욕장,1,제주특별자치도 제주시 우도면 연평리 2609
2,애월 해안도로,3,제주특별자치도 제주시 애월읍 하귀1리 709
3,교래자연휴양림,1,제주 제주시 조천읍 남조로 2023 교래자연휴양림
4,이호해수욕장,1,제주 제주시 이호일동
5,제주허브동산,2,제주 서귀포시 표선면 돈오름로 170
6,한라수목원,1,제주 제주시 수목원길 72
7,절물자연휴양림 ,1,제주특별자치도 제주시 조천읍 교래리 산137-29
8,삼다공원,1,제주특별자치도 제주시 연동 302-2
9,협재해수욕장,1,제주 제주시 한림읍 협재리 2497-1
10,제주 공룡랜드,2,제주 제주시 애월읍 광령평화2길 1
11,에코랜드,2,제주 제주시 조천읍 번영로 1278-169
12,제주오프로드,3,제주특별자치도 서귀포시 상예로 349 중문오프로드체험장
13,성읍랜드,2,제주 서귀포시 표선면 번영로 2650
14,백약이오름,1,제주 서귀포시 표선면 성읍리 산1
15,사려니숲길,1,제주특별자치도 제주시 조천읍 교래리 산137-1
16,월정리해수욕장,1,제주특별자치도 제주시 구좌읍 월정리 112
17,세화해수욕장,1,제주특별자치도 제주시 구좌읍 세화리 1477-9
18,천지연폭포,1,제주특별자치도 서귀포시 천지동 582-1
19,황우지해변,1,제주특별자치도 서귀포시 천지동
20,보롬왓,1,제주특별자치도 서귀포시 표선면 성읍리 3229-1
21,비자림,1,제주 제주시 구좌읍 비자숲길 55
22,용눈이오름,1,제주특별자치도 제주시 구좌읍 종달리 산38
23,금능해수욕장,1,제주특별자치도 제주시 한림읍 협재리 2695-2
24,에코랜드,2,제주특별자치도 제주시 조천읍 교래리 385-1
25,오설록티뮤지엄,2,제주 서귀포시 안덕면 신화역사로 15 오설록
26,김경숙해바라기농장,1,제주특별자치도 제주시 봉개동 391
27,쇠소깍,1,제주특별자치도 서귀포시 남원읍 태흥리 364-4
28,송악산항 ,1,제주특별자치도 서귀포시 대정읍 상모리 130-8
29,삼양해수욕장,1,제주특별자치도 제주시 삼양동 1569-24
30,왕따나무,1,제주특별자치도 제주시 한림읍 금악리 산30-8
31,4.3유적지섯알오름학살터유적비,1,제주특별자치도 서귀포시 대정읍 상모리 1590-3
32,한라수목원 ,1,제주특별자치도 제주시 연동 739
33,피규어 박물관,2,제주특별자치도 서귀포시 안덕면 상창리 1875-8
34,사려니숲길,1,제주특별자치도 서귀포시 영천동 산1
35,선인장마을,1,제주특별자치도 제주시 한림읍 금능남로 418
36,궷물오름,1,제주특별자치도 제주시 애월읍 유수암리 산136-6
38,산방산,1,제주특별자치도 서귀포시 정방동
39,모슬포항,1,제주 서귀포시 대정읍 하모리
40,협제해수욕장,1,제주특별자치도 제주시 한림읍 협재리 2610-1
41,용두암,1,제주특별자치도 제주시 용담2동 488
42,성판악 입구,1,제주특별자치도 제주시 조천읍 교래리 산137-24
43,금오름,2,제주특별자치도 제주시 한림읍 금악리 산1-1
44,이시돌목장,1,제주특별자치도 제주시 한림읍 금악리 151-3
45,성산일출봉,1,제주특별자치도 서귀포시 성산읍 성산리 1
46,섭지코지,1,제주특별자치도 서귀포시 성산읍 고성리 87
47,천지연폭포,1,제주특별자치도 서귀포시 천지동 644-5
49,정방폭포,1,제주특별자치도 서귀포시 정방동
50,저지리예술인마을,2,제주특별자치도 제주시 한경면 저지리 2120-112
53,피규어뮤지엄 서귀포,2,제주특별자치도 서귀포시 안덕면 상창리 1875-4
55,김녕리수국길,1,제주특별자치도 제주시 구좌읍 김녕리 1771-1
56,도두해수파크,3,제주특별자치도 제주시 도두동 1729
57,용머리해안,1,제주 서귀포시 안덕면 사계리 112-3
59,일출랜드,2,제주 서귀포시 성산읍 중산간동로 4150-30
62,항몽유적지,2,제주특별자치도 제주시 애월읍 상귀리 991
63,협재해수욕장,1,제주특별자치도 제주시 한림읍 협재리 2034-2
64,제주 조각 공원,2,제주특별자치도 서귀포시 안덕면 덕수리 산27
65,대포주상절리,1,제주특별자치도 서귀포시 중문동 2755
66,제주 절물자연휴양림,1,제주특별자치도 제주시 봉개동 산78-1
67,이호테 해수욕장,1,제주특별자치도 제주시 이호동 1665-9
68,서경농수산,3,제주특별자치도 서귀포시 성산읍 고성리 329-1
69,황우지해변,1,제주특별자치도 서귀포시 천지동
71,이호테해수욕장,1,제주특별자치도 제주시 이호동
73,카멜리아힐,1,제주 서귀포시 안덕면 병악로 166
