x	airline	departure	arrival	time	seat	price
1	대한항공	서울/김포	제주	6	33	126000
2	진에어	서울/김포	제주	7	15	107000
3	진에어	서울/김포	제주	8	30	107000
4	에어부산	서울/김포	제주	9	50	76500
5	에어부산	서울/김포	제주	10	18	76500
6	에어부산	서울/김포	제주	11	46	76500
7	대한항공	서울/김포	제주	12	52	126000
8	대한항공	서울/김포	제주	13	25	126000
9	제주항공	서울/김포	제주	14	14	87650
10	제주항공	서울/김포	제주	15	58	87650
11	제주항공	서울/김포	제주	16	18	87650
12	에어부산	서울/김포	제주	17	48	76500
13	티웨이항공	서울/김포	제주	18	9	98000
14	에어서울	서울/김포	제주	19	27	78900
15	티웨이항공	서울/김포	제주	20	57	98000
16	진에어	서울/김포	제주	21	33	107000
17	진에어	서울/김포	제주	22	5	107000
18	제주항공	군산	제주	6	38	87650
19	진에어	군산	제주	7	51	107000
20	진에어	군산	제주	8	48	107000
21	제주항공	군산	제주	9	32	87650
22	진에어	군산	제주	10	42	107000
23	제주항공	군산	제주	11	26	87650
24	제주항공	군산	제주	12	49	87650
25	진에어	군산	제주	13	19	107000
26	진에어	군산	제주	14	1	107000
27	제주항공	군산	제주	15	27	87650
28	제주항공	군산	제주	16	46	87650
29	진에어	군산	제주	17	41	107000
30	제주항공	군산	제주	18	44	87650
31	진에어	군산	제주	19	32	107000
32	제주항공	군산	제주	20	33	87650
33	진에어	군산	제주	21	39	107000
34	제주항공	군산	제주	22	10	87650
35	에어부산	부산/김해	제주	6	8	76500
36	대한항공	부산/김해	제주	7	29	126000
37	진에어	부산/김해	제주	8	21	107000
38	진에어	부산/김해	제주	9	49	107000
39	에어부산	부산/김해	제주	10	29	76500
40	에어부산	부산/김해	제주	11	35	76500
41	에어부산	부산/김해	제주	12	13	76500
42	대한항공	부산/김해	제주	13	25	126000
43	대한항공	부산/김해	제주	14	35	126000
44	제주항공	부산/김해	제주	15	11	87650
45	제주항공	부산/김해	제주	16	1	87650
46	제주항공	부산/김해	제주	17	57	87650
47	에어부산	부산/김해	제주	18	52	76500
48	티웨이항공	부산/김해	제주	19	26	98000
49	에어서울	부산/김해	제주	20	60	78900
50	티웨이항공	부산/김해	제주	21	28	98000
51	진에어	부산/김해	제주	22	52	107000
52	아시아나항공	여수	제주	6	25	119000
53	아시아나항공	여수	제주	7	55	119000
54	제주항공	여수	제주	8	29	87650
55	제주항공	여수	제주	9	6	87650
56	아시아나항공	여수	제주	10	60	119000
57	제주항공	여수	제주	11	24	87650
58	제주항공	여수	제주	12	8	87650
59	제주항공	여수	제주	13	25	87650
60	제주항공	여수	제주	14	11	87650
61	아시아나항공	여수	제주	15	50	119000
62	아시아나항공	여수	제주	16	28	119000
63	아시아나항공	여수	제주	17	35	119000
64	아시아나항공	여수	제주	18	5	119000
65	제주항공	여수	제주	19	54	87650
66	제주항공	여수	제주	20	59	87650
67	아시아나항공	여수	제주	21	40	119000
68	제주항공	여수	제주	22	30	87650
69	제주항공	대구	제주	6	17	87650
70	티웨이항공	대구	제주	7	27	98000
71	티웨이항공	대구	제주	8	55	98000
72	티웨이항공	대구	제주	9	2	98000
73	제주항공	대구	제주	10	46	87650
74	진에어	대구	제주	11	1	107000
75	제주항공	대구	제주	12	39	87650
76	티웨이항공	대구	제주	13	9	98000
77	아시아나항공	대구	제주	14	30	119000
78	티웨이항공	대구	제주	15	49	98000
79	티웨이항공	대구	제주	16	41	98000
80	티웨이항공	대구	제주	17	60	98000
81	진에어	대구	제주	18	60	107000
82	티웨이항공	대구	제주	19	26	98000
83	티웨이항공	대구	제주	20	35	98000
84	제주항공	대구	제주	21	16	87650
85	제주항공	대구	제주	22	20	87650
86	티웨이항공	광주	제주	6	13	98000
87	제주항공	광주	제주	7	59	87650
88	대한항공	광주	제주	8	59	126000
89	제주항공	광주	제주	9	40	87650
90	진에어	광주	제주	10	42	107000
91	아시아나항공	광주	제주	11	28	119000
92	진에어	광주	제주	12	53	107000
93	티웨이항공	광주	제주	13	48	98000
94	진에어	광주	제주	14	27	107000
95	아시아나항공	광주	제주	15	35	119000
96	제주항공	광주	제주	16	43	87650
97	제주항공	광주	제주	17	41	87650
98	제주항공	광주	제주	18	54	87650
99	아시아나항공	광주	제주	19	8	119000
100	티웨이항공	광주	제주	20	37	98000
101	진에어	광주	제주	21	12	107000
102	대한항공	광주	제주	22	48	126000
103	에어부산	울산	제주	6	25	76500
104	에어부산	울산	제주	7	45	76500
105	에어부산	울산	제주	8	20	76500
106	에어부산	울산	제주	9	30	76500
107	하이에어	울산	제주	10	25	56900
108	에어부산	울산	제주	11	19	76500
109	에어부산	울산	제주	12	24	76500
110	하이에어	울산	제주	13	49	56900
111	하이에어	울산	제주	14	50	56900
112	하이에어	울산	제주	15	16	56900
113	하이에어	울산	제주	16	29	56900
114	에어부산	울산	제주	17	49	76500
115	하이에어	울산	제주	18	31	56900
116	에어부산	울산	제주	19	25	76500
117	하이에어	울산	제주	20	20	56900
118	에어부산	울산	제주	21	8	76500
119	하이에어	울산	제주	22	33	56900
120	플라이강원	양양	제주	6	10	67900
121	플라이강원	양양	제주	7	14	67900
122	플라이강원	양양	제주	8	24	67900
123	플라이강원	양양	제주	9	6	67900
124	플라이강원	양양	제주	10	15	67900
125	플라이강원	양양	제주	11	33	67900
126	플라이강원	양양	제주	12	15	67900
127	플라이강원	양양	제주	13	30	67900
128	플라이강원	양양	제주	14	50	67900
129	플라이강원	양양	제주	15	18	67900
130	플라이강원	양양	제주	16	46	67900
131	플라이강원	양양	제주	17	52	67900
132	플라이강원	양양	제주	18	25	67900
133	플라이강원	양양	제주	19	14	67900
134	플라이강원	양양	제주	20	58	67900
135	플라이강원	양양	제주	21	18	67900
136	플라이강원	양양	제주	22	48	67900
137	하이에어	무안	제주	6	9	56900
138	하이에어	무안	제주	7	27	56900
139	하이에어	무안	제주	8	57	56900
140	하이에어	무안	제주	9	33	56900
141	하이에어	무안	제주	10	5	56900
142	하이에어	무안	제주	11	38	56900
143	하이에어	무안	제주	12	51	56900
144	하이에어	무안	제주	13	48	56900
145	하이에어	무안	제주	14	32	56900
146	하이에어	무안	제주	15	42	56900
147	하이에어	무안	제주	16	26	56900
148	하이에어	무안	제주	17	49	56900
149	하이에어	무안	제주	18	19	56900
150	하이에어	무안	제주	19	1	56900
151	하이에어	무안	제주	20	27	56900
152	하이에어	무안	제주	21	46	56900
153	하이에어	무안	제주	22	41	56900
154	진에어	원주	제주	6	44	107000
155	진에어	원주	제주	7	32	107000
156	진에어	원주	제주	8	33	107000
157	진에어	원주	제주	9	39	107000
158	진에어	원주	제주	10	10	107000
159	진에어	원주	제주	11	8	107000
160	진에어	원주	제주	12	29	107000
161	진에어	원주	제주	13	21	107000
162	진에어	원주	제주	14	49	107000
163	진에어	원주	제주	15	29	107000
164	진에어	원주	제주	16	35	107000
165	진에어	원주	제주	17	13	107000
166	진에어	원주	제주	18	25	107000
167	진에어	원주	제주	19	35	107000
168	진에어	원주	제주	20	11	107000
169	진에어	원주	제주	21	1	107000
170	진에어	원주	제주	22	57	107000
171	하이에어	진주/사천	제주	6	52	56900
172	하이에어	진주/사천	제주	7	26	56900
173	하이에어	진주/사천	제주	8	60	56900
174	하이에어	진주/사천	제주	9	28	56900
175	하이에어	진주/사천	제주	10	52	56900
176	하이에어	진주/사천	제주	11	25	56900
177	하이에어	진주/사천	제주	12	55	56900
178	하이에어	진주/사천	제주	13	29	56900
179	하이에어	진주/사천	제주	14	6	56900
180	하이에어	진주/사천	제주	15	60	56900
181	하이에어	진주/사천	제주	16	24	56900
182	하이에어	진주/사천	제주	17	8	56900
